,,percent_5,percent_5,percent_5,median,median,median,percent_95,percent_95,percent_95
,,min,median,max,min,median,max,min,median,max
result_type,name,,,,,,,,,
in_bed,default,156.9,186.35,200.0,178.5,200.0,200.0,185.25,200.0,200.0
in_bed,low_demand,107.95,132.3,147.60000000000002,125.5,141.5,160.5,127.25,146.375,170.75
waiting_p1,default,0.0,0.0,0.9500000000000001,0.0,0.0,3.0,0.0,0.0,4.25
waiting_p1,low_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waiting_p2,default,0.0,0.0,1.0,0.0,0.0,6.5,0.0,0.0,8.25
waiting_p2,low_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waiting_p3,default,0.0,0.0,6.8,0.0,3.5,29.5,0.0,13.625,46.25
waiting_p3,low_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
